DepartamentoDelPredio;MunicipioDelPredio;CodigoDANE;NumeroDeSolicitudes;NumeroDePredios;NumeroDeTitulares
Santander;Molagavita;68468;2;2;2
Antioquia;Envigado;5266;12;12;12
Santander;Concepción;68207;26;20;14
Antioquia;Santa Bárbara;5679;26;23;19
Cundinamarca;San Juan De Río Seco;25662;54;51;41
Magdalena;El Piñon;47258;175;173;152
Magdalena;El Banco;47245;44;43;41
Cundinamarca;Anolaima;25040;11;11;7
Antioquia;Angostura;5038;46;35;29
Meta;Acacías;50006;277;261;202
Sucre;San Benito Abad;70678;100;81;81
Nariño;Cuaspud;52224;2;2;2
Caldas;Victoria;17867;58;56;50
Risaralda;Balboa;66075;6;5;4
Antioquia;San José De La Montaña;5658;2;2;2
Cundinamarca;Beltrán;25086;13;13;8
Antioquia;Peñol;5541;33;27;28
Antioquia;El Carmen De Viboral;5148;164;146;103
Cundinamarca;Simijaca;25745;3;3;3
Norte Santander;Sardinata;54720;339;320;275
Atlántico;Palmar De Varela;8520;2;2;1
Putumayo;Valle Del Guamuez;86865;1872;1784;1535
Magdalena;Santa Bárbara De Pinto;47720;6;5;3
Boyacá;Boyacá;15104;1;0;1
Cauca;Buenos Aires;19110;156;147;141
Cauca;Silvia;19743;29;25;27
Huila;Palermo;41524;39;38;37
Santander;San Miguel;68686;23;19;12
Atlántico;Sabanalarga;8638;18;13;13
Meta;Puerto López;50573;289;207;216
Santander;La Paz;68397;14;9;8
Atlántico;Campo De La Cruz;8137;4;4;1
Atlántico;Candelaria;8141;1;1;1
Boyacá;Tunja;15001;2;2;2
Córdoba;San Antero;23672;5;5;4
Norte Santander;Teorama;54800;102;92;86
Cundinamarca;Jerusalén;25368;10;9;9
Caquetá;Valparaíso;18860;296;268;253
Quindío;Quimbaya;63594;3;2;3
Boyacá;Paipa;15516;7;7;6
Cesar;Manaure;20443;63;54;57
Nariño;Córdoba;52215;7;7;6
Norte Santander;Abrego;54003;262;226;219
Nariño;La Tola;52390;25;24;20
Antioquia;Yondó;5893;263;247;208
Antioquia;Tarso;5792;17;11;15
Cundinamarca;El Colegio;25245;10;10;7
Meta;Cabuyaro;50124;58;33;48
Santander;Cimitarra;68190;341;321;269
Caquetá;Florencia;18001;610;559;491
Cundinamarca;Gama;25299;4;4;2
Cundinamarca;Choachí;25181;6;6;4
Cundinamarca;Villa De San Diego De Ubaté;25843;2;2;2
Guainía;Barranco Minas;94343;38;33;33
Nariño;Olaya Herrera;52490;83;78;66
Bolívar;Cartagena;13001;195;173;184
Nariño;San Pablo;52693;73;73;58
Antioquia;San Vicente;5674;23;22;19
Boyacá;Chiscas;15180;15;15;13
Antioquia;La Unión;5400;47;26;33
Amazonas;La Chorrera;91405;1;1;1
Boyacá;Moniquirá;15469;1;1;1
Cundinamarca;Gachetá;25297;5;5;4
Huila;Isnos;41359;55;48;45
Nariño;Contadero;52210;1;1;1
Tolima;Venadillo;73861;142;135;103
Santander;La Belleza;68377;15;14;14
Huila;Neiva;41001;216;205;196
Antioquia;La Ceja;5376;8;8;6
Cesar;Pelaya;20550;428;369;337
Amazonas;Miriti - Paraná;91460;1;1;1
Tolima;Alpujarra;73024;43;33;31
Boyacá;El Cocuy;15244;5;5;3
Cundinamarca;Quetame;25594;7;7;7
Cundinamarca;Ubaque;25841;7;7;3
Antioquia;Vegachí;5858;118;96;93
Huila;Hobo;41349;11;11;10
Santander;Guouepsa;68327;1;1;1
Córdoba;Puerto Escondido;23574;34;26;27
Quindío;Armenia;63001;38;38;22
Antioquia;Yalí;5885;46;34;33
Cundinamarca;Chaguaní;25168;93;89;34
Atlántico;Polonuevo;8558;5;4;4
Nariño;Ipiales;52356;253;242;201
Caldas;Anserma;17042;89;79;66
Cundinamarca;Cajicá;25126;5;5;3
Boyacá;Guayatá;15325;4;4;4
Sucre;San Pedro;70717;111;105;96
Chocó;Río Iro;27580;95;94;53
Meta;Puerto Lleras;50577;432;375;310
Boyacá;Tipacoque;15810;1;1;1
Caldas;La Merced;17388;23;20;14
San Andrés;San Andrés;88001;2;2;1
Cauca;Santa Rosa;19701;363;344;317
Meta;Cumaral;50226;34;25;29
Antioquia;San Rafael;5667;266;228;197
Antioquia;Fredonia;5282;17;14;11
Antioquia;Abriaquí;5004;15;12;7
Magdalena;Remolino;47605;752;732;596
Meta;Fuente De Oro;50287;124;86;74
Santander;Santa Helena Del Opón;68720;19;18;17
Santander;Puerto Wilches;68575;207;193;163
Antioquia;Puerto Triunfo;5591;81;76;36
La Guajira;Hatonuevo;44378;6;6;5
Atlántico;Sabanagrande;8634;4;4;4
Chocó;Nóvita;27491;37;35;26
Bolívar;Mompós;13468;16;16;15
Antioquia;Santa Rosa De Osos;5686;25;24;20
Santander;Cepitá;68160;2;2;0
Antioquia;Guarne;5318;46;45;29
Tolima;Saldaña;73671;20;20;11
Santander;Aratoca;68051;1;1;1
Cundinamarca;Sesquilé;25736;5;4;3
Huila;Suaza;41770;36;32;35
Cundinamarca;Nocaima;25491;2;1;2
Nariño;Belén;52083;12;12;11
Chocó;Medio Baudó;27430;35;29;31
Amazonas;El Encanto;91263;6;5;5
Córdoba;Sahagún;23660;7;7;4
La Guajira;Manaure;44560;1;1;1
Caquetá;Morelia;18479;79;76;70
Boyacá;San Luis De Gaceno;15667;17;17;13
Santander;Floridablanca;68276;20;20;14
Bolívar;San Martín De Loba;13667;98;97;89
Cundinamarca;Vianí;25867;8;8;5
Tolima;Honda;73349;17;6;13
Chocó;Juradó;27372;57;24;31
Sucre;Corozal;70215;38;13;36
Córdoba;Lorica;23417;20;18;17
Tolima;Coello;73200;2;2;2
Cundinamarca;Manta;25436;5;5;2
Magdalena;Guamal;47318;11;10;10
Cauca;Padilla;19513;7;7;7
Santander;Socorro;68755;2;1;2
Quindío;Filandia;63272;2;2;2
Casanare;Villanueva;85440;41;40;28
Valle Del Cauca;Toro;76823;15;15;12
La Guajira;Riohacha;44001;311;283;262
Cauca;Almaguer;19022;85;75;69
Córdoba;Cotorra;23300;3;3;2
Valle Del Cauca;Florida;76275;71;68;54
Guainía;San Felipe;94883;3;3;3
Magdalena;Nueva Granada;47460;32;28;26
Bolívar;Clemencia;13222;30;30;26
Nariño;Ricaurte;52612;115;98;77
Bolívar;El Guamo;13248;59;54;40
Cauca;Guapí;19318;121;113;79
Cundinamarca;Guayabetal;25335;29;24;17
Chocó;Río Quito;27600;11;10;11
Antioquia;Puerto Nare;5585;61;60;49
Nariño;El Peñol;52254;19;18;15
Boyacá;Briceño;15106;6;6;3
Chocó;Atrato;27050;11;11;9
Chocó;Bagadó;27073;107;105;90
Norte Santander;Durania;54239;11;10;7
Cauca;Sucre;19785;49;35;45
Cauca;Puracé;19585;87;86;68
Antioquia;Amalfi;5031;126;121;96
Antioquia;Ebéjico;5240;8;7;7
Bolívar;Montecristo;13458;88;86;81
Cundinamarca;La Mesa;25386;7;4;7
Magdalena;San Zenón;47703;6;6;4
Boyacá;Caldas;15131;2;2;2
Norte Santander;San Cayetano;54673;7;7;7
Boyacá;Guacamayas;15317;1;1;1
Nariño;El Tambo;52260;25;25;18
Córdoba;Purísima;23586;3;3;3
Antioquia;Sopetrán;5761;12;12;10
Nariño;Iles;52352;1;1;1
Casanare;Tauramena;85410;148;132;108
Chocó;Bajo Baudó;27077;21;16;17
Sucre;Galeras;70235;129;126;119
Risaralda;Dosquebradas;66170;21;20;17
Nariño;Arboleda;52051;3;3;1
Antioquia;Titiribí;5809;3;3;3
Meta;Puerto Concordia;50450;244;229;209
Cundinamarca;Puerto Salgar;25572;34;33;24
Boyacá;Belén;15087;1;1;1
Caquetá;La Montañita;18410;386;352;352
Bolívar;Turbaná;13838;45;42;27
Santander;Charalá;68167;7;6;6
Tolima;Piedras;73547;10;8;6
Cundinamarca;Ubalá;25839;32;31;18
Santander;Málaga;68432;7;6;7
Tolima;Santa Isabel;73686;49;48;44
Risaralda;Mistrató;66456;109;103;88
Bolívar;Villanueva;13873;112;99;98
Cundinamarca;Guataquí;25324;12;7;11
Risaralda;Quinchía;66594;315;302;235
Atlántico;Ponedera;8560;134;101;38
Antioquia;Giraldo;5306;20;20;20
Cauca;Morales;19473;83;77;75
Guainía;Inírida;94001;17;17;17
Cundinamarca;Quipile;25596;67;65;38
Cauca;El Tambo;19256;783;724;641
Atlántico;Luruaco;8421;15;15;9
Santander;Barrancabermeja;68081;724;699;593
Valle Del Cauca;El Aguila;76243;29;29;25
Huila;Aipe;41016;31;31;29
Sucre;El Roble;70233;29;27;25
Cundinamarca;Guayabal De Siquima;25328;15;15;14
Cauca;Piendamó;19548;38;33;32
Chocó;Sipí;27745;24;23;19
Putumayo;Colón;86219;7;7;6
Sucre;Tolú Viejo;70823;125;119;106
Boyacá;Pesca;15542;4;3;4
Boyacá;Labranzagrande;15377;52;52;47
Antioquia;Arboletes;5051;600;570;261
Cundinamarca;Guaduas;25320;30;26;19
Cauca;Puerto Tejada;19573;17;15;16
Bolívar;Santa Catalina;13673;15;14;10
Casanare;Yopal;85001;111;91;101
Meta;El Dorado;50270;255;196;191
Tolima;Lérida;73408;192;180;139
Meta;San Martín;50689;262;233;182
Huila;Oporapa;41503;17;16;17
Antioquia;Urrao;5847;230;213;160
Cauca;Bolívar;19100;307;297;222
Sucre;Chalán;70230;154;92;131
Tolima;Cajamarca;73124;81;50;68
Bolívar;Mahates;13433;40;38;37
Tolima;Villarrica;73873;145;131;116
Tolima;Valle De San Juan;73854;194;175;136
Santander;Suratá;68780;42;39;29
Nariño;Guaitarilla;52320;7;6;5
Cesar;Astrea;20032;65;61;52
Magdalena;Zapayán;47960;44;25;30
Caldas;Chinchiná;17174;13;13;5
Cauca;La Vega;19397;336;305;269
Cesar;Pueblo Bello;20570;232;212;178
Atlántico;Piojó;8549;87;68;80
Nariño;Samaniego;52678;118;111;101
Huila;Garzón;41298;108;88;91
Boyacá;Socotá;15755;92;60;32
Risaralda;Belén De Umbría;66088;58;57;48
Santander;El Peñón;68250;66;63;53
Santander;Guavatá;68324;4;4;3
Nariño;Albán;52019;209;207;162
Bolívar;Río Viejo;13600;55;51;50
Bolívar;Zambrano;13894;354;324;305
Arauca;Fortul;81300;54;51;45
Boyacá;Paya;15533;31;28;26
Cauca;Cajibío;19130;627;604;557
Vichada;La Primavera;99524;125;122;112
Tolima;Icononzo;73352;118;88;101
Casanare;Aguazul;85010;131;105;107
Antioquia;Marinilla;5440;11;11;10
Santander;Matanza;68444;71;60;57
Norte Santander;Chitagá;54174;63;60;37
Cauca;Timbiquí;19809;71;59;61
Nariño;Linares;52411;40;40;34
Chocó;Cértegui;27160;14;13;11
Norte Santander;San Calixto;54670;93;89;79
Vaupés;Carurú;97161;50;50;43
Cesar;Río De Oro;20614;193;145;138
Cauca;Caloto;19142;66;54;55
Casanare;Hato Corozal;85125;120;106;102
Norte Santander;Puerto Santander;54553;6;5;6
Nariño;Roberto Payán;52621;169;158;113
Chocó;Bojayá;27099;50;47;39
Caldas;Marquetalia;17444;28;28;24
Valle Del Cauca;Zarzal;76895;27;26;12
Putumayo;San Francisco;86755;59;58;58
Antioquia;Gómez Plata;5310;13;13;10
Valle Del Cauca;Palmira;76520;136;132;121
Nariño;Funes;52287;14;12;13
Guaviare;Calamar;95015;200;194;172
Santander;Chima;68176;11;11;10
Cauca;Suárez;19780;84;82;74
Santander;San José De Miranda;68684;1;1;1
Tolima;Anzoátegui;73043;174;141;160
Antioquia;Nariño;5483;220;190;168
Cesar;Valledupar;20001;1284;1105;958
Cauca;Santander De Quilichao;19698;208;201;186
Meta;Uribe;50370;529;491;426
Vichada;Puerto Carreño;99001;54;50;48
Nariño;Colón;52203;67;63;60
Huila;Rivera;41615;23;22;20
Tolima;Murillo;73461;36;29;28
Córdoba;Chinú;23182;15;15;13
Antioquia;Puerto Berrío;5579;81;78;64
Antioquia;San Francisco;5652;227;213;158
Antioquia;Cañasgordas;5138;129;119;91
Magdalena;Chibolo;47170;457;417;371
Boyacá;Aquitania;15047;64;62;43
Meta;San Juan De Arama;50683;211;195;175
Tolima;Cunday;73226;139;132;117
Chocó;Unguía;27800;235;202;176
Antioquia;Amagá;5030;15;15;11
Putumayo;Puerto Leguízamo;86573;438;415;376
Norte Santander;Ocaña;54498;249;226;195
La Guajira;Fonseca;44279;43;41;40
Valle Del Cauca;Vijes;76869;17;16;16
Risaralda;Santa Rosa De Cabal;66682;10;10;8
Atlántico;Repelón;8606;49;45;40
Antioquia;Segovia;5736;146;142;117
Antioquia;Montebello;5467;491;460;307
Antioquia;San Luis;5660;364;308;278
Norte Santander;El Carmen;54245;173;161;132
Antioquia;Yarumal;5887;95;87;66
Cundinamarca;Viotá;25878;126;118;105
Caldas;La Dorada;17380;72;64;45
Córdoba;Chimá;23168;7;7;6
Nariño;La Cruz;52378;28;24;21
Casanare;Sabanalarga;85300;40;27;18
Nariño;El Charco;52250;108;101;90
Cundinamarca;Bituima;25095;13;13;9
Córdoba;Planeta Rica;23555;51;49;39
Cauca;Patía;19532;246;233;218
Santander;Bucaramanga;68001;68;62;41
Santander;El Carmen De Chucurí;68235;359;331;295
Antioquia;MEDELLÍN;5001;1073;976;865
Cundinamarca;Tibacuy;25805;29;28;24
Norte Santander;Hacarí;54344;73;69;59
Tolima;Villahermosa;73870;157;151;130
Córdoba;Canalete;23090;97;81;88
Chocó;Tadó;27787;227;214;202
Cauca;Jambaló;19364;13;13;13
Casanare;Maní;85139;155;121;123
Cesar;Bosconia;20060;70;63;61
Valle Del Cauca;El Cerrito;76248;32;32;28
Santander;Charta;68169;17;14;17
Magdalena;Pedraza;47541;12;12;11
Cauca;Inzá;19355;67;63;63
Santander;Galán;68296;8;8;8
Arauca;Arauca;81001;121;110;103
Chocó;Istmina;27361;64;64;45
Cauca;Balboa;19075;134;127;117
Valle Del Cauca;Cartago;76147;27;27;22
Norte Santander;El Zulia;54261;238;213;138
Cundinamarca;La Peña;25398;33;32;30
Santander;Simacota;68745;272;263;213
Valle Del Cauca;Cali;76001;309;267;241
Bolívar;Santa Rosa;13683;19;19;15
Cauca;La Sierra;19392;85;73;75
Huila;Villavieja;41872;40;34;35
Cauca;Argelia;19050;313;272;250
Sucre;Santiago De Tolú;70820;40;35;31
Chocó;Bahía Solano;27075;50;49;26
Meta;Puerto Gaitán;50568;659;579;491
Boyacá;Quípama;15580;34;31;25
Tolima;Roncesvalles;73622;146;128;126
Magdalena;Ariguaní;47058;101;83;80
Norte Santander;Cachirá;54128;76;70;62
Córdoba;San Andrés Sotavento;23670;5;5;4
Córdoba;Moñitos;23500;16;16;13
La Guajira;La Jagua Del Pilar;44420;11;8;11
Cauca;Popayán;19001;197;174;174
Valle Del Cauca;Guadalajara De Buga;76111;221;204;178
Valle Del Cauca;Yumbo;76892;9;8;9
Bolívar;San Juan Nepomuceno;13657;620;580;510
Magdalena;Puebloviejo;47570;279;220;245
Norte Santander;Los Patios;54405;37;37;29
Tolima;Alvarado;73026;83;73;64
Cundinamarca;Tocaima;25815;10;9;8
Antioquia;Maceo;5425;98;87;83
Antioquia;Carepa;5147;258;244;213
Antioquia;Campamento;5134;39;35;25
Antioquia;Guadalupe;5315;10;10;8
Cauca;Florencia;19290;13;11;11
