;Gender;EthnicGroup;ParentEduc;LunchType;TestPrep;ParentMaritalStatus;PracticeSport;IsFirstChild;NrSiblings;TransportMeans;WklyStudyHours;MathScore;ReadingScore;WritingScore
150;female;group E;high school;free/reduced;none;married;sometimes;no;4;school_bus;5 - 10;56;59;57
150;female;group B;associate's degree;free/reduced;completed;single;regularly;no;5;school_bus;> 10;70;74;72
150;male;group E;some high school;standard;completed;;sometimes;yes;5;school_bus;5 - 10;62;58;57
151;female;group B;some high school;standard;completed;married;regularly;yes;0;private;< 5;61;73;71
151;female;group B;high school;standard;completed;married;never;yes;0;school_bus;< 5;65;74;74
151;female;group E;bachelor's degree;standard;none;married;sometimes;yes;0;private;5 - 10;62;60;63
151;female;group C;associate's degree;standard;completed;married;sometimes;yes;0;school_bus;> 10;74;81;79
151;male;group D;associate's degree;standard;none;divorced;sometimes;yes;;private;> 10;;68;70
151;male;group B;high school;free/reduced;none;married;sometimes;no;;school_bus;< 5;47;42;35
151;male;group C;associate's degree;standard;none;single;sometimes;yes;;school_bus;< 5;74;67;65
151;female;group B;bachelor's degree;standard;none;married;regularly;yes;1;school_bus;< 5;58;59;63
151;male;group D;some high school;standard;none;;sometimes;yes;1;private;< 5;49;53;43
151;female;group A;;standard;none;single;never;no;1;;> 10;44;52;51
151;female;group C;some high school;standard;;divorced;regularly;yes;1;private;5 - 10;;86;78
151;female;;;standard;none;married;sometimes;no;1;private;5 - 10;57;74;72
151;male;group E;high school;standard;none;divorced;regularly;no;1;school_bus;5 - 10;49;41;31
151;male;group D;bachelor's degree;free/reduced;completed;divorced;regularly;no;2;school_bus;5 - 10;78;89;88
151;female;group D;some high school;standard;none;married;sometimes;yes;2;school_bus;> 10;70;78;76
151;male;;some college;standard;none;divorced;regularly;yes;2;school_bus;5 - 10;71;58;60
151;female;group C;associate's degree;standard;none;divorced;sometimes;yes;2;private;5 - 10;62;68;60
151;male;group E;;standard;completed;divorced;sometimes;no;2;private;< 5;84;74;77
151;male;group C;some college;standard;none;married;sometimes;;2;school_bus;< 5;76;71;62
151;female;group C;master's degree;free/reduced;none;married;never;yes;2;private;< 5;47;49;54
151;female;group B;high school;standard;none;;sometimes;no;2;private;< 5;56;60;64
151;male;group B;some college;free/reduced;none;married;sometimes;no;3;private;5 - 10;21;34;24
151;female;group D;some college;standard;completed;married;sometimes;no;3;school_bus;5 - 10;76;84;88
151;male;group A;bachelor's degree;standard;none;married;sometimes;no;3;private;5 - 10;77;67;68
151;female;group A;associate's degree;standard;none;married;never;yes;4;school_bus;5 - 10;53;63;67
151;female;group C;high school;standard;none;married;sometimes;yes;4;school_bus;> 10;82;91;91
151;male;group A;high school;free/reduced;completed;married;sometimes;yes;4;private;5 - 10;49;41;42
151;male;group D;high school;standard;none;married;;yes;5;private;5 - 10;62;59;54
151;male;group B;associate's degree;free/reduced;completed;divorced;sometimes;no;5;;5 - 10;46;41;42
151;male;group E;high school;standard;completed;married;sometimes;yes;5;private;5 - 10;72;71;65
151;female;group D;associate's degree;free/reduced;none;married;sometimes;no;6;;5 - 10;65;67;67
152;male;group A;some high school;standard;none;widowed;sometimes;yes;0;private;5 - 10;;86;78
152;male;group E;some college;free/reduced;none;married;sometimes;yes;0;private;< 5;75;82;72
152;female;group C;;free/reduced;none;married;sometimes;yes;0;private;> 10;77;87;79
152;male;group E;bachelor's degree;standard;completed;married;sometimes;yes;0;school_bus;< 5;82;79;75
152;female;group C;high school;standard;none;married;sometimes;yes;0;;< 5;67;71;75
152;female;group C;some college;free/reduced;completed;;;yes;0;;< 5;64;84;77
152;female;group D;associate's degree;standard;none;single;never;yes;1;private;;73;75;81
152;female;;high school;standard;none;married;sometimes;no;1;school_bus;5 - 10;85;92;90
152;male;group D;;standard;none;divorced;sometimes;no;1;;5 - 10;66;63;56
152;male;group E;high school;standard;none;single;sometimes;no;1;private;5 - 10;54;52;47
152;female;group A;some high school;standard;none;married;sometimes;no;1;school_bus;5 - 10;49;70;65
152;female;;high school;standard;none;married;never;yes;1;school_bus;> 10;;57;59
152;female;group C;some college;free/reduced;completed;married;;yes;1;school_bus;5 - 10;74;95;92
152;female;group B;master's degree;standard;;married;regularly;no;1;;> 10;70;76;75
152;female;group B;associate's degree;standard;completed;single;sometimes;yes;2;school_bus;< 5;;68;64
152;male;group D;high school;free/reduced;none;married;sometimes;yes;2;school_bus;5 - 10;54;57;57
152;male;group B;bachelor's degree;standard;none;married;regularly;yes;2;private;5 - 10;82;78;78
152;female;;high school;free/reduced;none;single;never;yes;2;school_bus;5 - 10;45;43;50
152;male;group E;;standard;;divorced;sometimes;no;2;school_bus;;99;100;98
152;male;;some college;standard;none;single;regularly;yes;2;;5 - 10;;50;44
152;female;group E;;free/reduced;completed;single;sometimes;yes;3;school_bus;5 - 10;67;82;75
152;female;group E;master's degree;standard;none;married;regularly;no;3;school_bus;5 - 10;91;90;97
152;male;group B;some high school;free/reduced;none;single;sometimes;yes;3;school_bus;< 5;52;53;41
152;male;group D;master's degree;free/reduced;completed;single;never;yes;3;school_bus;> 10;73;75;70
152;female;group B;associate's degree;free/reduced;none;divorced;sometimes;yes;3;school_bus;< 5;54;65;66
152;female;group C;some college;standard;none;married;sometimes;yes;3;school_bus;5 - 10;77;77;72
152;female;group E;some high school;standard;none;married;sometimes;yes;3;;5 - 10;94;97;97
152;female;group D;high school;standard;none;married;never;no;4;private;5 - 10;64;69;68
152;male;group B;some college;standard;completed;single;;no;4;school_bus;5 - 10;77;64;65
152;male;group D;;standard;none;single;sometimes;yes;4;private;< 5;66;66;66
152;male;group B;master's degree;free/reduced;completed;married;never;;5;;5 - 10;80;85;83
153;female;;master's degree;standard;completed;married;sometimes;yes;0;school_bus;< 5;;66;71
153;male;group D;bachelor's degree;standard;none;married;sometimes;no;1;;5 - 10;;49;47
153;male;group D;;standard;none;single;never;yes;1;school_bus;< 5;73;74;68
153;male;group E;some college;standard;completed;married;sometimes;yes;1;private;5 - 10;67;50;58
153;male;group D;master's degree;standard;none;single;never;yes;1;;5 - 10;73;67;72
153;female;group C;;standard;none;widowed;never;no;1;;< 5;;72;64
153;male;group C;;standard;none;single;regularly;no;1;private;5 - 10;74;66;62
153;male;group C;high school;standard;completed;married;never;no;1;school_bus;5 - 10;78;72;68
153;male;group C;some college;free/reduced;none;divorced;sometimes;no;1;private;5 - 10;59;53;57
153;female;group C;bachelor's degree;standard;completed;;regularly;no;1;private;< 5;55;65;67
153;male;group B;bachelor's degree;standard;completed;single;sometimes;yes;2;school_bus;< 5;65;63;68
153;female;group D;some college;standard;none;;regularly;yes;2;private;< 5;84;90;87
153;male;group D;some high school;standard;completed;divorced;regularly;yes;2;private;5 - 10;90;79;78
153;female;group A;some college;standard;;married;sometimes;yes;2;;5 - 10;85;89;91
153;female;group C;some college;free/reduced;none;married;regularly;yes;2;private;< 5;62;73;73
153;male;group E;associate's degree;standard;none;married;sometimes;no;2;private;5 - 10;93;77;81
153;female;group E;some college;standard;completed;married;regularly;yes;2;school_bus;5 - 10;81;94;85
153;male;group C;some college;free/reduced;none;married;regularly;yes;2;school_bus;5 - 10;42;51;43
153;male;group E;some college;standard;completed;married;never;no;2;school_bus;< 5;79;75;65
153;male;group E;master's degree;standard;completed;single;regularly;yes;3;private;;100;78;91
153;male;group D;high school;free/reduced;none;divorced;regularly;no;3;;;73;66;63
153;female;group D;some college;standard;none;married;never;yes;3;school_bus;5 - 10;78;82;85
153;female;group B;high school;standard;completed;married;sometimes;yes;3;school_bus;> 10;71;72;73
153;male;group C;bachelor's degree;standard;completed;single;sometimes;no;3;;> 10;78;71;71
153;male;group C;some high school;free/reduced;none;divorced;sometimes;yes;3;;5 - 10;53;57;53
153;female;;master's degree;standard;completed;;sometimes;yes;3;private;> 10;93;100;100
153;female;group B;associate's degree;standard;none;divorced;sometimes;no;4;school_bus;5 - 10;52;59;63
153;female;group C;;free/reduced;completed;single;regularly;yes;4;private;> 10;46;53;59
153;female;group C;associate's degree;free/reduced;;married;regularly;no;4;school_bus;5 - 10;;90;86
153;female;group E;high school;standard;completed;married;sometimes;yes;5;school_bus;5 - 10;78;89;85
154;male;group E;master's degree;free/reduced;completed;married;regularly;yes;0;school_bus;5 - 10;67;63;67
154;female;group E;high school;standard;none;married;sometimes;yes;0;private;> 10;65;63;64
154;male;group D;associate's degree;free/reduced;none;married;sometimes;yes;;school_bus;> 10;54;37;40
154;female;group C;high school;standard;none;married;sometimes;;;school_bus;5 - 10;;68;66
154;female;group D;high school;free/reduced;completed;divorced;regularly;yes;1;;;80;95;96
154;male;group D;associate's degree;standard;completed;married;sometimes;yes;1;;5 - 10;66;65;69
154;female;group B;associate's degree;standard;none;married;regularly;yes;1;private;5 - 10;65;68;70
154;female;group B;associate's degree;standard;completed;married;sometimes;no;1;;5 - 10;77;74;74
154;male;group E;bachelor's degree;free/reduced;completed;divorced;regularly;yes;1;private;< 5;54;46;50
154;female;group C;bachelor's degree;standard;none;widowed;regularly;yes;1;private;5 - 10;;80;80
154;male;group B;some college;standard;completed;single;sometimes;yes;1;;< 5;85;90;91
154;male;group D;some high school;standard;none;single;never;no;2;;< 5;;65;58
154;male;group E;bachelor's degree;standard;none;widowed;never;yes;2;private;5 - 10;;90;82
154;female;group E;some college;standard;none;married;sometimes;yes;2;school_bus;5 - 10;75;74;71
154;female;group B;associate's degree;free/reduced;none;single;regularly;yes;2;school_bus;> 10;39;44;43
154;female;;associate's degree;standard;completed;single;never;no;2;school_bus;5 - 10;68;85;81
154;male;group D;high school;standard;none;married;sometimes;yes;2;private;;68;58;54
154;female;group E;associate's degree;standard;completed;divorced;;yes;2;school_bus;5 - 10;92;99;99
154;male;group D;some college;standard;none;married;sometimes;;2;school_bus;5 - 10;58;60;59
154;female;group C;master's degree;standard;none;married;sometimes;yes;2;private;5 - 10;62;78;74
154;female;group D;associate's degree;standard;none;married;sometimes;yes;3;school_bus;> 10;64;63;68
154;male;group C;;free/reduced;none;single;sometimes;no;3;;5 - 10;86;84;82
154;female;group C;associate's degree;standard;none;single;sometimes;no;3;school_bus;5 - 10;95;97;94
154;female;group C;bachelor's degree;free/reduced;completed;divorced;sometimes;no;3;private;< 5;77;89;95
154;male;group B;some college;standard;completed;single;sometimes;yes;3;private;5 - 10;82;76;76
154;female;group C;high school;free/reduced;none;married;sometimes;yes;3;school_bus;< 5;41;45;42
154;male;group E;some high school;standard;none;single;sometimes;no;3;private;< 5;69;68;66
154;female;group C;master's degree;standard;completed;divorced;sometimes;no;4;school_bus;< 5;;74;71
154;male;group D;bachelor's degree;standard;completed;married;regularly;no;5;private;> 10;72;70;70
154;male;group C;high school;free/reduced;none;single;sometimes;;5;school_bus;> 10;64;63;57
154;female;group C;associate's degree;standard;none;married;sometimes;yes;5;school_bus;5 - 10;94;93;87
155;male;group D;high school;standard;none;married;sometimes;yes;0;private;5 - 10;80;81;78
155;male;group E;high school;standard;none;single;sometimes;yes;0;;5 - 10;76;73;72
155;male;group C;high school;standard;none;single;sometimes;yes;0;school_bus;5 - 10;92;78;77
155;male;group C;associate's degree;standard;completed;single;sometimes;yes;0;school_bus;< 5;55;52;51
155;female;group D;associate's degree;standard;completed;single;sometimes;yes;;school_bus;5 - 10;45;58;57
155;male;group D;high school;standard;completed;married;never;yes;1;school_bus;> 10;66;54;57
155;male;group D;some college;standard;none;married;sometimes;no;1;private;< 5;69;74;63
155;female;group C;some college;standard;none;single;sometimes;yes;1;;< 5;66;76;79
155;female;group B;associate's degree;standard;none;single;never;no;1;school_bus;< 5;65;64;62
155;male;group C;some college;free/reduced;none;married;sometimes;yes;1;school_bus;5 - 10;60;57;56
155;female;group C;some high school;standard;none;divorced;sometimes;yes;1;school_bus;< 5;85;86;80
155;male;group E;bachelor's degree;standard;completed;married;sometimes;yes;1;school_bus;< 5;97;97;98
155;female;group C;associate's degree;standard;none;married;sometimes;no;1;private;5 - 10;56;67;65
155;male;group C;some college;free/reduced;completed;widowed;sometimes;yes;1;;< 5;;82;85
155;female;group C;some college;free/reduced;none;married;;yes;1;school_bus;5 - 10;28;35;29
155;male;;high school;standard;none;married;regularly;yes;2;private;< 5;73;67;74
155;male;group D;some college;free/reduced;;married;never;yes;2;school_bus;5 - 10;70;62;59
155;male;group C;some college;standard;none;single;sometimes;yes;2;private;> 10;72;60;59
155;male;group A;bachelor's degree;standard;none;married;regularly;yes;2;school_bus;> 10;100;85;88
155;male;group B;master's degree;free/reduced;none;married;regularly;no;2;school_bus;5 - 10;65;79;67
155;female;group D;some college;standard;completed;single;regularly;yes;3;private;< 5;99;99;100
155;female;group B;associate's degree;standard;none;married;regularly;no;3;school_bus;> 10;77;79;78
155;male;group A;associate's degree;standard;none;single;regularly;yes;3;private;5 - 10;90;76;78
155;female;group C;some college;standard;completed;married;regularly;yes;3;school_bus;< 5;69;88;88
155;female;;some college;standard;none;widowed;never;yes;3;school_bus;5 - 10;;59;54
155;female;group C;associate's degree;free/reduced;;divorced;sometimes;yes;3;school_bus;5 - 10;;53;52
155;female;group E;high school;free/reduced;;single;regularly;;3;private;5 - 10;61;57;52
155;male;group E;some high school;free/reduced;none;married;sometimes;yes;3;school_bus;5 - 10;75;63;56
155;female;group C;some high school;standard;none;single;regularly;yes;3;school_bus;5 - 10;49;59;57
155;male;group C;some college;standard;none;married;sometimes;;5;school_bus;5 - 10;89;93;84
155;male;group C;high school;free/reduced;none;single;;yes;5;school_bus;> 10;81;77;69
156;female;group A;some college;standard;none;single;regularly;yes;0;school_bus;< 5;61;62;65
156;female;group C;associate's degree;free/reduced;none;married;sometimes;yes;0;;> 10;79;85;81
156;male;group C;high school;standard;completed;married;sometimes;yes;0;school_bus;5 - 10;68;78;78
156;female;group B;;standard;none;married;never;yes;0;private;5 - 10;49;68;61
156;male;group D;associate's degree;free/reduced;completed;single;sometimes;yes;;private;;;81;83
156;female;group D;some college;standard;completed;married;sometimes;no;;school_bus;5 - 10;42;47;59
156;male;group D;;standard;completed;married;regularly;yes;;school_bus;;72;77;79
156;female;group E;high school;free/reduced;completed;married;regularly;yes;1;school_bus;5 - 10;67;75;79
156;male;group D;some high school;standard;completed;married;regularly;yes;1;private;> 10;74;76;75
156;male;group D;associate's degree;standard;completed;divorced;sometimes;no;1;school_bus;5 - 10;64;76;78
156;male;group C;master's degree;free/reduced;completed;married;sometimes;yes;1;private;5 - 10;55;62;57
156;female;group C;some college;standard;none;married;regularly;yes;1;;> 10;67;73;71
156;female;group B;;free/reduced;none;married;never;yes;1;private;5 - 10;45;64;59
156;female;group C;high school;free/reduced;none;divorced;regularly;yes;1;school_bus;< 5;52;61;65
156;female;group E;associate's degree;free/reduced;completed;divorced;sometimes;no;2;;5 - 10;;87;87
156;female;group E;;free/reduced;none;married;never;yes;2;;5 - 10;74;78;83
156;male;group D;bachelor's degree;standard;none;married;sometimes;yes;2;school_bus;5 - 10;85;74;79
156;male;;high school;standard;none;married;regularly;yes;2;private;> 10;62;58;59
156;male;group C;master's degree;free/reduced;none;;sometimes;no;2;school_bus;5 - 10;72;67;72
156;female;group B;high school;standard;completed;single;sometimes;no;2;;5 - 10;67;66;78
156;female;group D;high school;standard;;single;sometimes;no;3;private;5 - 10;;57;57
156;female;group E;;standard;none;married;sometimes;yes;3;school_bus;5 - 10;60;74;67
156;male;group B;bachelor's degree;standard;none;married;regularly;yes;3;school_bus;> 10;68;61;58
156;female;group B;bachelor's degree;standard;completed;single;sometimes;yes;3;school_bus;5 - 10;77;90;94
156;female;group C;bachelor's degree;standard;none;divorced;sometimes;no;3;school_bus;< 5;79;92;92
156;male;group E;associate's degree;free/reduced;completed;married;sometimes;no;3;private;5 - 10;72;68;64
156;male;group B;some college;standard;none;married;regularly;yes;3;school_bus;5 - 10;53;44;42
156;female;group D;some college;standard;completed;single;sometimes;no;4;school_bus;5 - 10;59;74;73
156;female;group D;;standard;none;single;regularly;;5;school_bus;5 - 10;72;70;73
156;male;group D;some high school;free/reduced;completed;divorced;never;yes;7;private;5 - 10;56;68;70
157;female;group A;bachelor's degree;standard;completed;single;never;yes;0;private;5 - 10;60;67;61
157;male;group D;associate's degree;standard;none;married;sometimes;yes;0;school_bus;5 - 10;93;88;90
157;male;group D;bachelor's degree;free/reduced;none;married;sometimes;yes;0;private;< 5;46;51;50
157;male;group C;associate's degree;standard;none;single;;yes;0;school_bus;5 - 10;48;43;38
157;female;group E;bachelor's degree;free/reduced;none;married;sometimes;yes;0;school_bus;> 10;66;68;73
157;male;group E;some college;standard;none;single;regularly;yes;;school_bus;< 5;82;64;64
157;female;group B;high school;standard;none;single;regularly;yes;1;;5 - 10;85;94;84
157;female;group D;associate's degree;free/reduced;none;single;;yes;1;school_bus;5 - 10;49;57;54
157;male;group B;associate's degree;free/reduced;none;married;regularly;no;1;school_bus;5 - 10;50;43;37
157;male;group D;associate's degree;standard;none;married;regularly;yes;1;school_bus;5 - 10;99;86;86
157;male;group D;high school;standard;none;married;sometimes;yes;1;school_bus;5 - 10;62;70;59
157;male;group C;high school;standard;completed;married;sometimes;yes;1;private;5 - 10;56;52;47
157;male;group E;some college;standard;completed;married;sometimes;no;1;school_bus;> 10;92;79;80
157;male;group C;master's degree;standard;none;single;sometimes;yes;1;private;;97;92;88
157;male;group C;high school;standard;completed;single;sometimes;yes;1;private;> 10;72;71;70
157;female;group B;associate's degree;standard;none;married;sometimes;yes;1;private;> 10;67;66;67
157;male;;some high school;standard;none;married;sometimes;yes;1;school_bus;5 - 10;;70;59
157;male;group C;some high school;free/reduced;none;married;regularly;no;1;private;5 - 10;;70;69
157;male;group B;;free/reduced;none;;sometimes;yes;2;school_bus;< 5;;59;58
157;female;group A;some college;standard;none;married;sometimes;yes;2;private;5 - 10;58;64;56
157;female;group D;some high school;free/reduced;none;married;sometimes;yes;2;private;5 - 10;35;52;53
157;female;;bachelor's degree;standard;none;married;regularly;yes;2;private;< 5;65;84;86
157;female;group C;some college;standard;none;married;sometimes;yes;2;school_bus;5 - 10;68;78;70
157;male;group C;;standard;none;divorced;sometimes;yes;2;school_bus;5 - 10;72;56;58
157;male;group A;high school;standard;none;single;sometimes;no;3;school_bus;5 - 10;63;60;46
157;male;group B;some high school;standard;none;single;never;yes;3;school_bus;;41;40;34
157;male;group B;associate's degree;standard;completed;single;regularly;no;3;school_bus;> 10;85;80;79
157;female;group B;some college;free/reduced;none;married;regularly;yes;3;private;< 5;74;86;80
157;female;group B;master's degree;free/reduced;none;divorced;never;no;3;school_bus;5 - 10;53;72;69
157;male;group B;some college;free/reduced;;married;regularly;no;4;private;> 10;65;75;69
157;male;;some college;free/reduced;none;;sometimes;no;4;private;5 - 10;;60;53
158;male;;some high school;standard;none;married;regularly;yes;0;private;< 5;83;66;65
158;female;group D;high school;standard;none;widowed;regularly;yes;;private;< 5;;46;49
158;male;;some college;free/reduced;completed;married;never;no;;school_bus;5 - 10;;64;69
158;male;group B;some college;standard;completed;married;regularly;yes;1;school_bus;5 - 10;81;76;75
158;male;group D;some high school;standard;none;divorced;sometimes;yes;1;school_bus;> 10;71;56;61
158;female;group D;high school;free/reduced;completed;married;sometimes;yes;1;school_bus;5 - 10;58;73;73
158;male;group D;associate's degree;standard;completed;married;regularly;yes;1;private;5 - 10;66;60;59
158;male;group C;some high school;free/reduced;none;married;regularly;yes;1;;< 5;66;78;62
158;male;group C;some high school;free/reduced;none;married;regularly;no;1;school_bus;< 5;58;62;55
158;female;group A;some high school;free/reduced;none;married;sometimes;;1;private;5 - 10;33;48;41
158;male;group C;some college;standard;none;married;sometimes;yes;1;school_bus;5 - 10;61;58;58
158;male;group C;some college;standard;;single;sometimes;no;1;school_bus;5 - 10;81;74;77
158;male;group C;some college;standard;none;divorced;sometimes;yes;1;school_bus;5 - 10;93;85;81
158;male;group C;master's degree;standard;completed;divorced;regularly;no;1;school_bus;5 - 10;;100;99
158;female;group B;associate's degree;standard;;divorced;regularly;yes;2;private;5 - 10;;87;89
158;female;group E;some high school;standard;completed;divorced;regularly;no;2;;5 - 10;73;80;84
158;male;group D;;free/reduced;none;married;never;no;2;;5 - 10;52;50;50
158;male;group C;high school;standard;completed;married;never;no;2;school_bus;> 10;;66;63
158;female;group D;associate's degree;standard;none;married;never;yes;3;private;5 - 10;;95;92
158;male;group D;some college;standard;completed;married;regularly;no;3;school_bus;5 - 10;;86;89
158;female;group D;bachelor's degree;free/reduced;none;married;regularly;yes;3;school_bus;< 5;53;64;67
158;female;group D;bachelor's degree;standard;completed;single;sometimes;yes;3;school_bus;< 5;84;98;98
158;male;group E;some high school;free/reduced;completed;married;sometimes;no;3;school_bus;> 10;59;48;47
158;male;group A;some college;standard;completed;married;sometimes;no;3;private;5 - 10;79;78;74
158;female;group C;master's degree;free/reduced;completed;single;never;yes;3;private;< 5;77;94;90
158;female;group C;associate's degree;standard;none;single;sometimes;yes;3;school_bus;5 - 10;64;62;63
158;female;;bachelor's degree;free/reduced;none;single;regularly;no;3;school_bus;5 - 10;59;65;64
158;male;group C;some college;standard;none;married;regularly;yes;3;private;5 - 10;86;80;89
158;male;group C;bachelor's degree;standard;completed;;regularly;no;3;school_bus;5 - 10;;55;57
158;male;group B;high school;free/reduced;none;married;regularly;yes;4;school_bus;5 - 10;57;50;50
159;female;group D;some college;standard;none;single;sometimes;yes;0;;< 5;85;98;98
159;female;group C;some high school;standard;none;married;sometimes;yes;0;private;5 - 10;48;54;57
159;male;group E;high school;standard;none;married;never;no;;school_bus;5 - 10;66;61;55
159;male;group B;some college;free/reduced;completed;married;sometimes;no;;school_bus;> 10;75;74;71
159;male;group D;associate's degree;standard;none;;regularly;yes;1;private;> 10;89;84;72
159;male;group D;associate's degree;free/reduced;completed;married;sometimes;no;1;private;5 - 10;56;55;58
159;female;group D;some college;standard;none;divorced;sometimes;no;1;private;5 - 10;48;55;56
159;male;group B;high school;standard;completed;married;regularly;yes;1;private;> 10;98;79;84
159;male;group C;some college;standard;completed;married;sometimes;yes;1;;< 5;72;71;73
159;male;group C;high school;standard;completed;married;sometimes;yes;1;;> 10;74;78;75
159;female;group A;master's degree;free/reduced;completed;divorced;sometimes;no;1;school_bus;5 - 10;76;85;88
159;female;group B;high school;standard;completed;married;regularly;yes;1;school_bus;5 - 10;49;48;56
159;female;;associate's degree;free/reduced;;married;sometimes;no;1;school_bus;< 5;;69;66
159;male;group E;some college;free/reduced;none;married;sometimes;no;2;;5 - 10;58;60;61
159;female;group D;some high school;standard;completed;divorced;regularly;;2;;5 - 10;85;96;97
159;female;group C;high school;standard;completed;married;regularly;yes;2;private;< 5;49;62;56
159;male;group B;high school;standard;none;divorced;regularly;yes;2;school_bus;> 10;58;64;53
159;female;group C;bachelor's degree;free/reduced;;married;regularly;yes;2;private;< 5;78;78;80
159;male;group D;associate's degree;free/reduced;none;married;regularly;no;3;school_bus;> 10;;63;66
159;female;group D;some college;standard;none;divorced;regularly;yes;3;private;< 5;55;65;66
159;female;group D;bachelor's degree;standard;completed;married;regularly;yes;3;school_bus;;75;74;83
159;male;group D;some high school;standard;completed;single;sometimes;no;3;school_bus;< 5;58;65;62
159;male;group E;some high school;standard;none;married;regularly;yes;3;school_bus;> 10;99;81;80
159;male;group A;some high school;standard;none;;sometimes;no;4;private;< 5;77;81;77
159;female;group B;associate's degree;standard;none;married;regularly;yes;4;school_bus;5 - 10;56;66;63
159;male;group B;some college;free/reduced;completed;married;sometimes;no;4;school_bus;< 5;64;68;74
159;male;group D;associate's degree;standard;none;divorced;never;no;5;school_bus;> 10;96;93;90
159;female;group D;;standard;none;married;sometimes;no;5;school_bus;< 5;60;57;59
159;female;group C;some college;standard;none;married;sometimes;no;5;private;< 5;64;77;78
159;female;group C;master's degree;standard;none;single;regularly;yes;6;school_bus;5 - 10;77;76;77
159;female;group B;high school;free/reduced;completed;married;regularly;yes;7;school_bus;5 - 10;59;61;65
16;male;group C;high school;standard;;married;sometimes;yes;0;school_bus;5 - 10;88;89;86
16;female;group C;high school;free/reduced;none;married;regularly;yes;;;5 - 10;66;77;78
16;female;group C;some college;standard;none;single;sometimes;no;;private;5 - 10;83;86;81
16;male;group D;associate's degree;free/reduced;completed;single;regularly;yes;1;school_bus;5 - 10;72;59;74
16;female;group B;high school;free/reduced;;married;regularly;yes;1;private;5 - 10;44;46;47
16;male;group D;some college;standard;none;married;sometimes;no;1;school_bus;< 5;97;92;87
16;male;group C;high school;free/reduced;none;married;sometimes;yes;1;school_bus;5 - 10;80;71;66
16;female;group C;bachelor's degree;free/reduced;;married;;yes;1;school_bus;5 - 10;;74;81
16;male;group C;bachelor's degree;standard;completed;;regularly;no;1;private;> 10;57;59;56
16;female;group C;some college;standard;completed;married;regularly;;1;school_bus;< 5;60;72;77
16;male;group C;some high school;free/reduced;none;married;sometimes;yes;1;school_bus;5 - 10;55;53;47
16;female;group B;some college;standard;none;single;sometimes;yes;1;school_bus;< 5;42;56;52
16;female;group C;associate's degree;standard;none;single;sometimes;no;1;private;5 - 10;65;74;74
16;male;group E;associate's degree;standard;completed;married;sometimes;yes;2;school_bus;> 10;98;90;83
16;male;;high school;standard;none;married;regularly;no;2;school_bus;> 10;90;87;78
16;male;group D;high school;standard;;married;sometimes;yes;2;;5 - 10;78;80;75
16;female;group B;some college;standard;completed;married;sometimes;no;2;;5 - 10;40;54;55
16;male;group B;some high school;standard;none;married;regularly;yes;2;private;5 - 10;83;79;77
16;female;group C;associate's degree;standard;completed;married;regularly;yes;2;school_bus;> 10;75;73;78
16;male;group B;master's degree;standard;completed;married;regularly;yes;3;private;5 - 10;100;100;98
16;male;group A;associate's degree;standard;;married;sometimes;yes;3;school_bus;5 - 10;;58;55
16;female;group E;some college;standard;completed;;regularly;no;3;school_bus;> 10;78;82;84
16;male;group D;associate's degree;standard;none;married;never;no;3;school_bus;5 - 10;70;81;70
16;male;group B;some college;standard;completed;married;sometimes;yes;3;school_bus;5 - 10;93;91;95
16;male;group B;master's degree;free/reduced;none;married;sometimes;yes;3;school_bus;> 10;58;52;53
16;female;group C;bachelor's degree;free/reduced;completed;married;regularly;yes;3;private;< 5;78;85;94
16;female;group C;some high school;standard;none;married;regularly;no;3;school_bus;> 10;81;84;83
16;male;group C;some high school;free/reduced;none;divorced;sometimes;yes;3;school_bus;5 - 10;38;25;27
16;female;group E;high school;standard;;single;regularly;yes;4;private;5 - 10;;95;96
16;male;group B;some college;standard;completed;single;sometimes;no;4;school_bus;< 5;97;93;89
16;male;group D;high school;standard;completed;married;sometimes;yes;5;school_bus;5 - 10;87;81;80
160;male;group D;high school;free/reduced;none;married;regularly;yes;0;school_bus;> 10;;71;72
160;female;group D;high school;free/reduced;none;divorced;sometimes;yes;0;private;< 5;48;68;59
160;male;group E;associate's degree;standard;none;married;regularly;;0;private;< 5;65;41;45
160;female;group D;master's degree;standard;none;married;;yes;0;school_bus;5 - 10;81;83;91
160;female;group B;high school;free/reduced;none;married;regularly;;0;school_bus;5 - 10;53;61;63
160;female;group A;associate's degree;standard;none;divorced;regularly;yes;0;private;< 5;56;59;67
160;female;group C;some college;free/reduced;none;married;sometimes;yes;0;private;> 10;42;54;49
160;female;group D;some high school;standard;completed;divorced;sometimes;yes;;private;5 - 10;;58;64
160;male;group D;some college;standard;none;single;sometimes;no;;school_bus;5 - 10;;58;64
160;male;group B;some high school;standard;completed;married;regularly;no;1;school_bus;> 10;59;57;61
160;male;group D;some college;standard;none;married;never;no;1;school_bus;< 5;90;77;77
160;female;group D;some college;standard;none;divorced;never;yes;1;school_bus;5 - 10;77;92;87
160;female;;associate's degree;standard;none;married;never;no;1;private;5 - 10;52;64;65
160;female;group D;some high school;free/reduced;none;single;regularly;no;1;private;5 - 10;57;68;64
160;male;group C;some college;standard;none;married;regularly;yes;1;school_bus;> 10;86;81;73
160;male;group B;associate's degree;free/reduced;completed;single;sometimes;yes;2;private;5 - 10;;78;74
